customer_id,month_number,bill_amount,pay_amount,payment_status
1,1,3913,0,2
2,1,2682,0,-1
3,1,29239,1518,0
4,1,46990,2000,0
5,1,8617,2000,-1
6,1,64400,2500,0
7,1,367965,55000,0
8,1,11876,380,0
9,1,11285,3329,0
10,1,0,0,-2
11,1,11073,2306,0
12,1,12261,21818,-1
13,1,12137,1000,-1
14,1,65802,3200,1
15,1,70887,3000,0
16,1,50614,0,1
17,1,15376,3200,0
18,1,253286,10358,0
19,1,0,0,1
20,1,0,0,1
21,1,38358,3000,0
22,1,316,316,-1
23,1,41087,2007,2
24,1,5512,19428,-2
25,1,4744,5757,0
26,1,47620,1973,0
27,1,-109,0,1
28,1,22541,1300,0
29,1,650,3415,-1
30,1,15329,1500,0
31,1,16646,17270,-1
32,1,30518,1718,2
33,1,93036,3023,0
34,1,10929,4152,-2
35,1,13709,5006,-2
36,1,30265,131,-1
37,1,186503,8026,0
38,1,15054,1500,0
39,1,0,780,1
40,1,498,9075,-1
41,1,218668,10000,0
42,1,67521,3000,0
43,1,1877,1500,0
44,1,59504,3000,0
45,1,18927,3000,0
46,1,0,0,-2
47,1,14028,3000,0
48,1,4463,1013,0
49,1,22401,21540,-1
50,1,17447,1318,0
51,1,37042,0,1
52,1,61559,2000,0
53,1,13465,7875,-2
54,1,41402,1300,1
55,1,46224,1600,2
56,1,1905,3640,-2
57,1,16386,8500,0
58,1,175886,8083,0
59,1,1587,0,-1
60,1,400134,17000,0
61,1,22848,1516,0
62,1,70800,4025,0
63,1,24987,0,2
64,1,28718,1000,0
65,1,99,0,-1
66,1,152519,0,-2
67,1,2097,2300,2
68,1,300,300,2
69,1,-190,0,1
70,1,18565,0,2
71,1,780,0,-1
72,1,58267,2500,2
73,1,9076,5818,-1
74,1,0,0,1
75,1,3048,5713,-1
76,1,14619,2850,0
77,1,42838,1759,-1
78,1,291,291,-1
79,1,28387,1686,0
80,1,0,0,1
81,1,165254,6400,0
82,1,23411,4796,0
83,1,26324,1576,0
84,1,131595,10700,0
85,1,48909,1676,0
86,1,130028,4400,0
87,1,390,1170,-1
88,1,3826,1147,0
89,1,81313,40000,0
90,1,8583,0,2
91,1,138180,6300,2
92,1,7524,0,-1
93,1,-2000,7555,-2
94,1,880,1602,-1
95,1,45648,1937,0
96,1,83725,3621,0
97,1,3967,8339,-1
98,1,86009,4031,0
99,1,18722,1411,0
100,1,17973,1699,0
101,1,672,10212,-2
102,1,-81,223,-2
103,1,422069,16078,0
104,1,44698,1767,0
105,1,56685,0,2
106,1,5580,0,-1
107,1,6108,2861,-1
108,1,713,2272,-1
109,1,171438,10908,0
110,1,-103,0,1
111,1,105879,9260,0
112,1,13244,2000,0
113,1,135673,6500,2
114,1,52128,2000,0
115,1,19015,1340,0
116,1,18199,0,-1
117,1,326,326,-1
118,1,14029,2000,2
119,1,19660,9677,-1
120,1,50254,2000,0
121,1,46004,1000,2
122,1,0,0,1
123,1,0,0,1
124,1,304991,13019,2
125,1,19115,1404,0
126,1,0,0,1
127,1,110151,3568,0
128,1,163736,4655,0
129,1,3347,1000,0
130,1,60521,2504,3
131,1,4000,5645,1
132,1,95,2622,1
133,1,253454,9744,0
134,1,227389,8210,0
135,1,28452,2000,0
136,1,10674,1500,0
137,1,17444,2500,0
138,1,7166,1500,0
139,1,752,300,-1
140,1,50801,2360,0
141,1,0,0,1
142,1,1832,0,-1
143,1,10131,1000,1
144,1,12159,10000,-2
145,1,1199,15586,-1
146,1,4999,1000,0
147,1,19269,1661,0
148,1,197236,8000,1
149,1,9168,1650,1
150,1,-1100,0,1
151,1,86627,3455,0
152,1,42444,30000,0
153,1,208,2906,1
154,1,208775,8042,0
155,1,9014,1700,0
156,1,23944,5000,0
157,1,105420,4000,0
158,1,196031,7300,0
159,1,115785,10478,2
160,1,12854,0,3
161,1,24357,3500,2
162,1,390,390,2
163,1,1234,396,-1
164,1,141223,17994,0
165,1,21148,3000,0
166,1,101640,5500,0
167,1,6093,15383,-2
168,1,102349,3166,-1
169,1,72112,3500,0
170,1,28040,1510,0
171,1,37695,5000,0
172,1,688,3288,-1
173,1,8567,15000,-1
174,1,-709,0,1
175,1,0,0,1
176,1,64617,3000,1
177,1,6187,504,-2
178,1,48860,0,1
179,1,16001,1212,0
180,1,77883,5800,0
181,1,12212,15000,-1
182,1,49608,12500,0
183,1,56422,70010,0
184,1,58024,2500,0
185,1,10642,1200,0
186,1,14483,0,1
187,1,2616,57087,1
188,1,199436,8214,2
189,1,0,5396,1
190,1,21703,0,1
191,1,59901,10020,0
192,1,19625,1342,2
193,1,11386,199,-1
194,1,14670,37867,-1
195,1,47790,2000,0
196,1,36166,1900,1
197,1,0,0,-2
198,1,18553,1500,0
199,1,412,138,-2
200,1,29010,1000,1
201,1,750,0,-2
202,1,27123,25000,0
203,1,13424,10000,-1
204,1,107314,5000,0
205,1,226430,9100,0
206,1,227,22359,-1
207,1,390,1473,-1
208,1,3088,1586,-1
209,1,81625,3200,0
210,1,8872,4345,-1
211,1,105607,5000,0
212,1,0,0,1
213,1,38257,1700,0
214,1,28347,3036,0
215,1,296573,13000,2
216,1,390,390,-1
217,1,-946,0,1
218,1,79278,3100,2
219,1,89989,4000,0
220,1,1424,4542,-1
221,1,105167,12000,2
222,1,335196,12388,0
223,1,291619,12019,0
224,1,91653,10042,0
225,1,52626,0,1
226,1,130370,6530,0
227,1,3265,2686,-1
228,1,16455,1609,0
229,1,49758,2401,2
230,1,19154,0,1
231,1,35084,2090,0
232,1,20235,0,1
233,1,102800,0,0
234,1,129801,5000,2
235,1,58203,1506,0
236,1,7988,3983,-1
237,1,127402,4500,0
238,1,1440,0,-2
239,1,234205,10116,0
240,1,19346,3000,0
241,1,21501,0,1
242,1,47174,1800,0
243,1,26655,1800,0
244,1,3139,2821,-1
245,1,142,355,-1
246,1,19816,1601,0
247,1,52874,1631,0
248,1,37767,1788,0
249,1,46140,2504,0
250,1,35713,1561,0
251,1,50867,1710,1
252,1,29242,5006,0
253,1,101551,5366,0
254,1,70243,7042,0
255,1,19532,3127,-1
256,1,27699,1565,0
257,1,1154,1233,0
258,1,8015,2453,-1
259,1,62170,0,0
260,1,210380,10000,2
261,1,78331,40010,0
262,1,49276,1602,0
263,1,4473,4664,-1
264,1,2283,51315,-2
265,1,10115,258,-1
266,1,6156,0,-1
267,1,6974,1134,0
268,1,89003,4100,0
269,1,34871,1600,0
270,1,13694,1700,3
271,1,70003,2035,0
272,1,1082,0,-1
273,1,0,0,1
274,1,11253,2000,0
275,1,0,0,-2
276,1,68699,4483,0
277,1,171,2728,2
278,1,1156,316,-1
279,1,50859,2007,0
280,1,103109,4000,0
281,1,1512,1000,0
282,1,127543,10063,0
283,1,163935,7722,0
284,1,53494,4173,0
285,1,195126,5000,0
286,1,110346,41986,-1
287,1,60502,3276,2
288,1,180641,8610,0
289,1,70896,3472,2
290,1,8751,1295,0
291,1,898,898,-1
292,1,0,0,1
293,1,1700,1100,3
294,1,7015,3507,0
295,1,0,0,1
296,1,194353,9000,0
297,1,1686,657,-1
298,1,143225,6483,0
299,1,58983,2755,0
300,1,0,0,1
301,1,99209,3490,0
302,1,0,0,-2
303,1,49941,2400,0
304,1,11968,2800,0
305,1,871,665,-1
306,1,432,3220,-2
307,1,10483,23962,-1
308,1,0,5215,1
309,1,9720,1200,2
310,1,20847,13809,-1
311,1,3697,1000,-1
312,1,143301,7000,0
313,1,10934,3000,0
314,1,52439,0,-1
315,1,55734,1631,0
316,1,49507,1970,0
317,1,47819,2200,0
318,1,0,165,1
319,1,48522,3754,3
320,1,-2,0,1
321,1,58362,2500,1
322,1,172180,21105,0
323,1,1399,1070,-1
324,1,26361,1710,0
325,1,93029,10000,0
