customer_id,risk_tier,default_next_month,avg_utilization,utilization_trend,on_time_months,max_delinquency,delinquency_drift,consecutive_delays,payment_ratio,balance_volatility,credit_limit,risk_score,default_risk_score
16040,High Risk,1,0.0249999999999999,-6.1964246698748105e-19,0,3,1,6,0.0,0.0,200000,0.998489,0.998489
1967,High Risk,0,0.4763037037037037,-0.0070488888888888,3,1,1,3,3.307610091703303,23064.42999656976,90000,0.9984617,0.9984617
11740,High Risk,1,0.0166666666666666,-7.2048355399477845e-19,0,2,0,6,0.0,0.0,300000,0.9984145,0.9984145
9594,High Risk,1,0.015,-8.5965621962432615e-19,0,2,0,6,0.0,0.0,20000,0.9984145,0.9984145
7789,High Risk,1,0.0124999999999999,-3.0982123349374053e-19,0,2,0,6,0.0,0.0,200000,0.9983816,0.9983816
13712,High Risk,1,0.0124999999999999,-3.0982123349374053e-19,0,2,0,6,0.0,0.0,200000,0.9983816,0.9983816
16490,High Risk,1,0.035,-2.091588685201012e-18,0,3,1,6,0.0,0.0,30000,0.9981048,0.9981048
3664,High Risk,1,0.035,-2.091588685201012e-18,0,3,1,6,0.0,0.0,30000,0.9981048,0.9981048
14429,High Risk,1,0.035,-2.091588685201012e-18,0,3,1,6,0.0,0.0,30000,0.9981048,0.9981048
1461,High Risk,1,0.021,-1.6061699709685744e-18,0,3,1,6,0.0,0.0,50000,0.9980411,0.9980411
14226,High Risk,1,0.021,-1.6061699709685744e-18,0,3,1,6,0.0,0.0,50000,0.9980411,0.9980411
6510,High Risk,1,0.021,-1.6061699709685744e-18,0,3,1,6,0.0,0.0,50000,0.9980411,0.9980411
24571,High Risk,1,0.021,-1.6061699709685744e-18,0,3,1,6,0.0,0.0,50000,0.9980411,0.9980411
29367,High Risk,1,0.015,-8.5965621962432615e-19,0,3,1,6,0.0,0.0,20000,0.99777114,0.99777114
19983,High Risk,1,0.0166666666666666,-7.2048355399477845e-19,0,3,1,6,0.0,0.0,300000,0.99777114,0.99777114
27161,High Risk,1,0.015,-8.5965621962432615e-19,0,3,1,6,0.0,0.0,20000,0.99777114,0.99777114
21668,High Risk,1,0.0161,-1.0575117405017049e-18,0,3,1,6,0.0,0.0,20000,0.99777114,0.99777114
21013,High Risk,1,0.0124999999999999,-3.0982123349374053e-19,0,3,1,6,0.0,0.0,200000,0.9977247,0.9977247
26802,High Risk,1,0.0124999999999999,-3.0982123349374053e-19,0,3,1,6,0.0,0.0,200000,0.9977247,0.9977247
24346,High Risk,1,0.0124999999999999,-3.0982123349374053e-19,0,3,1,6,0.0,0.0,200000,0.9977247,0.9977247
1957,High Risk,1,0.0113636363636363,-5.78050957563972e-19,0,2,0,6,0.0,0.0,220000,0.99715865,0.99715865
13744,High Risk,1,0.0096038461538461,-3.4570880796229604e-19,0,2,0,6,0.0,0.0,260000,0.99691284,0.99691284
6045,High Risk,1,0.009914,-3.597973099329525e-19,0,2,0,6,0.0,0.0,500000,0.99691284,0.99691284
10745,High Risk,1,0.0088642857142857,-4.0109902683438143e-19,0,2,0,6,0.0012087026591458,0.0,280000,0.99690896,0.99690896
29419,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
17927,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
6085,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
4007,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
1752,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
18136,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
17809,High Risk,1,0.105,-1.2195633477268377e-18,0,3,1,6,0.0,0.0,10000,0.9968521,0.9968521
17757,High Risk,1,0.24,-1.3754499513989217e-17,0,7,5,6,0.0,0.0,10000,0.9966719,0.9966719
17034,High Risk,1,0.24,-1.3754499513989217e-17,0,7,5,6,0.0,0.0,10000,0.9966719,0.9966719
13407,High Risk,1,0.24,-1.3754499513989217e-17,0,7,5,6,0.0,0.0,10000,0.9966719,0.9966719
14245,High Risk,1,0.24,-1.3754499513989217e-17,0,7,5,6,0.0,0.0,10000,0.9966719,0.9966719
5838,High Risk,1,0.24,-1.3754499513989217e-17,0,7,5,6,0.0,0.0,10000,0.9966719,0.9966719
17240,High Risk,1,0.24,-1.3754499513989217e-17,0,7,5,6,0.0,0.0,10000,0.9966719,0.9966719
7240,Medium Risk,1,0.6646912280701754,-0.1117521804511278,4,2,2,1,0.0323159030523383,46893.98364680342,190000,0.996576,0.996576
16933,High Risk,1,0.11275,-1.4495496604273537e-18,0,7,5,6,0.0,0.0,20000,0.9963547,0.9963547
12019,High Risk,1,0.0096153846153846,5.783115280384208e-20,0,2,0,6,0.0,0.0,260000,0.99630725,0.99630725
11075,High Risk,1,0.0096153846153846,5.783115280384208e-20,0,2,0,6,0.0,0.0,260000,0.99630725,0.99630725
14951,High Risk,1,0.009948,9.276402934495964e-19,0,2,0,6,0.0,0.0,250000,0.99630725,0.99630725
12956,High Risk,1,0.0089285714285714,1.8266902723369462e-20,0,2,0,6,0.0,0.0,280000,0.9963026,0.9963026
16001,High Risk,1,0.12,-6.8772497569946084e-18,0,7,5,6,0.0,0.0,20000,0.99618965,0.99618965
20722,High Risk,1,0.12,-6.8772497569946084e-18,0,7,5,6,0.0,0.0,20000,0.99618965,0.99618965
29771,High Risk,1,0.12,-6.8772497569946084e-18,0,7,5,6,0.0,0.0,20000,0.99618965,0.99618965
29580,High Risk,1,0.12,-6.8772497569946084e-18,0,7,5,6,0.0,0.0,20000,0.99618965,0.99618965
28055,High Risk,1,0.12,-6.8772497569946084e-18,0,7,5,6,0.0,0.0,20000,0.99618965,0.99618965
24168,High Risk,1,0.12,-6.8772497569946084e-18,0,7,5,6,0.0,0.0,20000,0.99618965,0.99618965
1486,High Risk,1,0.1149999999999999,-0.0042857142857142,0,7,5,6,0.0,244.94897427831785,20000,0.99604416,0.99604416
6041,High Risk,1,0.1149999999999999,-0.0042857142857142,0,7,5,6,0.0,244.94897427831785,20000,0.99604416,0.99604416
26606,High Risk,1,0.1149999999999999,-0.0042857142857142,0,7,5,6,0.0,244.94897427831785,20000,0.99604416,0.99604416
29992,High Risk,1,0.0119047619047619,-3.999571367156469e-19,0,3,1,6,0.0,0.0,210000,0.99600756,0.99600756
28852,High Risk,1,0.0113636363636363,-5.78050957563972e-19,0,3,1,6,0.0,0.0,220000,0.99600756,0.99600756
16555,High Risk,1,0.23,-5.1945264177033e-19,0,7,5,6,0.0,0.0,10000,0.99594384,0.99594384
25054,High Risk,1,0.009914,-3.597973099329525e-19,0,3,1,6,0.0,0.0,500000,0.9956626,0.9956626
16163,Medium Risk,1,0.8092395833333335,-0.1354674999999999,4,2,2,1,0.0398148668338817,27477.012511673584,80000,0.99539596,0.99539596
12073,Medium Risk,1,0.6317125,-0.1069792857142856,4,2,2,1,0.0351868834950956,27743.006129473422,120000,0.99522674,0.99522674
17863,High Risk,1,0.2299999999999999,-0.0085714285714285,0,7,5,6,0.0,244.94897427831785,10000,0.9952081,0.9952081
6272,High Risk,1,0.2299999999999999,-0.0085714285714285,0,7,5,6,0.0,244.94897427831785,10000,0.9952081,0.9952081
9871,High Risk,1,0.0054545454545454,1.9846148829662992e-19,0,2,0,6,0.0,0.0,110000,0.99509805,0.99509805
27050,Medium Risk,1,0.8114508333333332,-0.1068655714285713,4,2,2,1,0.0343744088599642,48272.41765404615,200000,0.99498713,0.99498713
12923,Medium Risk,1,0.6960907407407407,0.0087901587301587,2,2,2,2,0.0348921838837692,1986.179792130276,90000,0.9947423,0.9947423
14915,High Risk,1,0.0066666666666666,2.4068937909942808e-20,0,2,0,6,0.0,0.0,30000,0.9945859,0.9945859
22392,Medium Risk,1,0.8759579999999999,-0.023790057142857,4,2,2,1,0.0379589711587623,18264.54843405661,250000,0.9944924,0.9944924
11706,High Risk,0,0.0525,-6.097816738634189e-19,0,3,1,6,0.0,0.0,20000,0.9944857,0.9944857
24026,High Risk,1,0.0525,-6.097816738634189e-19,0,3,1,6,0.0,0.0,20000,0.9944857,0.9944857
3879,High Risk,1,0.0525,-6.097816738634189e-19,0,3,1,6,0.0,0.0,20000,0.9944857,0.9944857
18095,High Risk,1,0.0525,-6.097816738634189e-19,0,3,1,6,0.0,0.0,20000,0.9944857,0.9944857
11988,High Risk,1,0.0525,-6.097816738634189e-19,0,3,1,6,0.0,0.0,20000,0.9944857,0.9944857
24398,High Risk,1,0.0525,-6.097816738634189e-19,0,3,1,6,0.0,0.0,20000,0.9944857,0.9944857
27193,High Risk,1,0.01,-4.835902386200717e-20,0,3,1,6,0.0,0.0,250000,0.9944607,0.9944607
27537,High Risk,1,0.009948,9.276402934495964e-19,0,3,1,6,0.0,0.0,250000,0.9943422,0.9943422
4085,Medium Risk,0,0.6670944444444444,-0.1361742857142857,2,2,2,2,0.0674885121885189,7940.246404656889,30000,0.99391705,0.99391705
28221,High Risk,1,0.08,-3.8687219089605736e-19,0,7,5,6,0.0,0.0,30000,0.99374443,0.99374443
15948,High Risk,1,0.08,-3.8687219089605736e-19,0,7,5,6,0.0,0.0,30000,0.99374443,0.99374443
17875,High Risk,1,0.08,-3.8687219089605736e-19,0,7,5,6,0.0,0.0,30000,0.99374443,0.99374443
12282,Medium Risk,1,0.6793033333333334,-0.1471251428571428,4,2,2,1,0.0382910779346935,14911.925528471053,50000,0.99329126,0.99329126
14140,Medium Risk,1,0.035075,0.0053271428571428,3,2,3,1,0.9686773153986268,349.9107028943242,20000,0.9932767,0.9932767
15139,High Risk,1,0.0798333333333333,-1.987504928428081e-18,0,7,5,6,0.0,0.0,30000,0.9931738,0.9931738
14974,High Risk,1,0.0798333333333333,-1.987504928428081e-18,0,7,5,6,0.0,0.0,30000,0.9931738,0.9931738
1147,High Risk,1,0.0342857142857142,6.224624130228714e-19,0,7,5,6,0.0,0.0,70000,0.9931017,0.9931017
514,High Risk,1,0.6308633333333334,0.0136119999999999,0,2,0,6,0.0468058570100308,1292.1701771309638,50000,0.9930496,0.9930496
16480,Medium Risk,1,0.6149,0.0278228571428571,2,2,2,2,0.065416252575027,1229.9419498496666,20000,0.99301744,0.99301744
23980,Medium Risk,1,0.7224666666666666,-0.1258114285714285,4,2,2,1,0.0608034358740018,7464.759036075221,20000,0.99289507,0.99289507
14862,High Risk,1,0.085,-4.44781134888591e-18,0,7,5,6,0.0,0.0,30000,0.9928362,0.9928362
863,High Risk,1,0.0816666666666666,-2.5439755012185737e-18,0,7,5,6,0.0,0.0,30000,0.9928362,0.9928362
18719,Medium Risk,1,0.6226571428571429,0.0145273469387755,2,2,2,2,0.0358448139001776,2151.5337784938447,70000,0.99278367,0.99278367
20524,High Risk,1,0.6269527777777778,0.0128595238095238,0,2,0,6,0.0449914466635261,1716.779824749425,60000,0.9927107,0.9927107
22760,High Risk,1,0.0057608695652173,1.6066570456032178e-19,0,3,1,6,0.0125786163522012,0.0,460000,0.9925494,0.9925494
10354,High Risk,1,0.5657333333333333,0.0278314285714285,2,2,2,3,0.0999530783203734,1273.6601849263666,20000,0.99251634,0.99251634
17775,High Risk,1,0.8543333333333334,-0.000318961038961,2,2,2,3,0.03084355971952,1924.5729569612752,110000,0.99246395,0.99246395
28033,Medium Risk,0,0.7888933333333333,-0.140528,4,2,2,1,0.0643624287025491,15632.0895297675,50000,0.992392,0.992392
17248,High Risk,1,0.0069444444444444,9.012646855366005e-20,0,3,1,6,0.0,0.0,360000,0.9922897,0.9922897
28748,High Risk,0,0.0479999999999999,1.3018272523341199e-18,0,7,5,6,0.0,0.0,50000,0.9922787,0.9922787
2406,High Risk,1,0.0479999999999999,1.3018272523341199e-18,0,7,5,6,0.0,0.0,50000,0.9922787,0.9922787
10802,High Risk,1,0.0479999999999999,1.3018272523341199e-18,0,7,5,6,0.0,0.0,50000,0.9922787,0.9922787
7881,High Risk,1,0.0479999999999999,1.3018272523341199e-18,0,7,5,6,0.0,0.0,50000,0.9922787,0.9922787
29524,High Risk,1,0.0479999999999999,1.3018272523341199e-18,0,7,5,6,0.0,0.0,50000,0.9922787,0.9922787
12825,High Risk,1,0.0479999999999999,1.3018272523341199e-18,0,7,5,6,0.0,0.0,50000,0.9922787,0.9922787
15988,High Risk,1,0.6209433333333334,0.014572,0,2,0,6,0.0491569918708968,1377.5567380934503,50000,0.99221593,0.99221593
6112,Medium Risk,1,0.9726833333333332,0.0012319047619048,2,2,2,2,0.0385102192460862,1458.9152134377105,120000,0.9920027,0.9920027
29152,High Risk,1,0.065,5.534612334031988e-19,0,7,5,6,0.0,0.0,30000,0.99196506,0.99196506
3993,High Risk,1,0.9371833333333336,0.0219085714285714,0,3,1,6,0.0472738899968815,1191.0134620006052,20000,0.9919299,0.9919299
6927,High Risk,1,1.0615,0.0140114285714285,2,2,2,3,0.0474469875123418,2214.70684290269,60000,0.9919036,0.9919036
26720,Medium Risk,1,0.4980944444444444,0.0289609523809523,2,2,2,2,0.0770295795848097,1700.154747858755,30000,0.99176335,0.99176335
27619,Medium Risk,1,0.8008833333333333,0.0251685714285714,3,2,2,2,0.0719308286250512,1484.600642148139,20000,0.9917178,0.9917178
19557,High Risk,1,0.6193222222222222,0.0357561904761904,2,2,2,3,0.0815367200451007,2139.071917132911,30000,0.99169743,0.99169743
21274,High Risk,1,0.62045,0.0127742857142856,0,2,0,6,0.0427339486850466,1675.4852133038955,70000,0.9916767,0.9916767
12030,High Risk,1,0.8415533333333333,0.01648,2,2,2,3,0.0395408426566789,1792.4264745497003,50000,0.9916353,0.9916353
16503,High Risk,1,0.7897916666666666,0.0354614285714285,2,2,2,3,0.0758111397376854,1478.1035710215529,20000,0.99159425,0.99159425
13967,High Risk,1,0.06,-3.4386248784973042e-18,0,7,5,6,0.0,0.0,40000,0.99157554,0.99157554
13740,High Risk,1,0.06,-3.4386248784973042e-18,0,7,5,6,0.0,0.0,40000,0.99157554,0.99157554
28298,High Risk,1,0.8538444444444444,0.0100457142857142,0,3,1,6,0.0331638703788004,783.2186582728137,30000,0.9915524,0.9915524
18371,High Risk,1,0.559988888888889,0.0271809523809523,2,2,2,3,0.068115775712904,1607.9265737796195,30000,0.9915454,0.9915454
15598,Medium Risk,1,0.5250500000000001,0.0127257142857142,2,2,2,2,0.0767721353892607,1365.8626578100743,20000,0.9914977,0.9914977
16488,Medium Risk,1,0.8357833333333332,-0.1396114285714285,4,2,2,1,0.0600474387591067,8208.143094919013,20000,0.99147767,0.99147767
671,High Risk,0,1.5298611111111111,-0.2781685714285716,1,2,3,4,0.2757268941882235,26415.39127415429,30000,0.9912356,0.9912356
12036,High Risk,0,0.0882,-5.724534480394083e-18,0,7,5,6,0.0,0.0,30000,0.99113,0.99113
21961,High Risk,1,0.0478333333333333,0.0001428571428571,0,7,5,6,0.0035460992907801,20.41241452319316,50000,0.9910863,0.9910863
15155,Medium Risk,1,0.5514166666666668,-0.1798428571428571,4,2,3,1,0.0345855158174743,12783.688994183174,30000,0.990983,0.990983
16512,High Risk,1,0.8564583333333334,0.0221728571428571,0,3,1,6,0.0561602167433285,867.5430632923456,20000,0.990908,0.990908
11662,High Risk,1,0.6142,0.024775238095238,2,2,2,3,0.0611812780584993,1540.747091511128,30000,0.9908879,0.9908879
22806,High Risk,1,0.1664444444444444,0.0114742857142857,2,2,3,3,0.7381117928837813,1861.8558125340069,30000,0.99077356,0.99077356
14692,High Risk,1,0.6837,0.0208085714285714,0,2,0,6,0.0659784332518303,961.2776914086792,20000,0.9907018,0.9907018
3044,High Risk,1,0.6534880952380951,0.0124436734693877,2,2,2,3,0.0415665760537383,2119.998058175211,70000,0.9906775,0.9906775
6387,Medium Risk,1,0.6222166666666666,-0.0062154285714285,2,2,2,2,0.040104368273981,2939.837847002223,50000,0.99066144,0.99066144
14638,Medium Risk,1,0.8056333333333333,-0.1022,4,2,2,1,0.2150830443993742,2008.896280714031,10000,0.9906562,0.9906562
5714,High Risk,0,0.9457833333333334,-0.0003495238095238,2,3,3,2,0.0566806915665475,1719.3909095956044,30000,0.9906218,0.9906218
26244,Medium Risk,1,0.6923083333333334,-0.1892985714285713,3,2,2,2,0.0487817729241875,26021.4115124449,60000,0.9905766,0.9905766
2991,Medium Risk,1,0.63769,0.0153537142857142,2,2,2,2,0.0384834333147603,1661.2049542425525,50000,0.9905081,0.9905081
26915,High Risk,1,0.2617466666666667,-0.0165710476190476,0,2,0,6,0.027437414148039,5145.060504989227,150000,0.99045056,0.99045056
4099,Medium Risk,1,0.6777555555555557,-0.1119304761904761,4,2,2,1,0.0482004021192966,14419.601834539908,60000,0.99044025,0.99044025
13263,High Risk,1,0.7283749999999999,0.0286485714285714,2,2,2,3,0.0694848083503202,2412.240866911926,40000,0.99043673,0.99043673
28634,High Risk,1,0.6658638888888889,-0.0672071428571428,2,2,2,3,0.0402143130680841,7580.267077528777,60000,0.99043006,0.99043006
14653,High Risk,1,0.5179888888888889,0.013335238095238,0,2,0,6,0.0501001515205987,853.5848327299792,30000,0.9903486,0.9903486
8655,High Risk,1,0.08,-3.8687219089605736e-19,0,8,6,6,0.0,0.0,30000,0.9902535,0.9902535
18111,High Risk,1,0.6319621212121213,0.0126090909090908,2,2,2,3,0.040203318140754,2999.8368233400074,110000,0.99023634,0.99023634
