customer_id,risk_tier
1,Medium Risk
2,Medium Risk
3,Low Risk
4,Medium Risk
5,Low Risk
6,Medium Risk
7,Medium Risk
8,Low Risk
9,Medium Risk
10,Low Risk
11,Medium Risk
12,Medium Risk
13,Low Risk
14,High Risk
15,Low Risk
16,Medium Risk
17,High Risk
18,Medium Risk
19,Medium Risk
20,Medium Risk
21,Low Risk
22,Low Risk
23,High Risk
24,Low Risk
25,Low Risk
26,Medium Risk
27,Medium Risk
28,Low Risk
29,Low Risk
30,Low Risk
31,Low Risk
32,Medium Risk
33,Medium Risk
34,Low Risk
35,Low Risk
36,Low Risk
37,Medium Risk
38,Low Risk
39,Medium Risk
40,Medium Risk
41,Medium Risk
42,Medium Risk
43,Low Risk
44,Medium Risk
45,Medium Risk
46,Low Risk
47,Medium Risk
48,Low Risk
49,Low Risk
50,Medium Risk
51,High Risk
52,Medium Risk
53,Low Risk
54,Medium Risk
55,Medium Risk
56,Low Risk
57,Low Risk
58,Medium Risk
59,High Risk
60,Medium Risk
61,Low Risk
62,Medium Risk
63,High Risk
64,Low Risk
65,Low Risk
66,Medium Risk
67,High Risk
68,Medium Risk
69,Medium Risk
70,Medium Risk
71,Low Risk
72,High Risk
73,Medium Risk
74,Medium Risk
75,Low Risk
76,Medium Risk
77,Medium Risk
78,Low Risk
79,Medium Risk
80,Medium Risk
81,Low Risk
82,Low Risk
83,Low Risk
84,Medium Risk
85,Medium Risk
86,Medium Risk
87,Medium Risk
88,Low Risk
89,Low Risk
90,Medium Risk
91,High Risk
92,Low Risk
93,Low Risk
94,Low Risk
95,Medium Risk
96,Medium Risk
97,Low Risk
98,Medium Risk
99,Low Risk
100,Medium Risk
101,Low Risk
102,Low Risk
103,Medium Risk
104,Medium Risk
105,High Risk
106,Low Risk
107,Low Risk
108,Low Risk
109,Medium Risk
110,Medium Risk
111,Medium Risk
112,Medium Risk
113,High Risk
114,Medium Risk
115,Low Risk
116,High Risk
117,Low Risk
118,Medium Risk
119,Low Risk
120,Low Risk
121,High Risk
122,Medium Risk
123,Medium Risk
124,Medium Risk
125,Medium Risk
126,Medium Risk
127,Medium Risk
128,Medium Risk
129,Low Risk
130,High Risk
131,Medium Risk
132,Medium Risk
133,Medium Risk
134,Medium Risk
135,Medium Risk
136,High Risk
137,Low Risk
138,Low Risk
139,Low Risk
140,Medium Risk
141,Medium Risk
142,Low Risk
143,High Risk
144,Low Risk
145,Low Risk
146,High Risk
147,Low Risk
148,Medium Risk
149,High Risk
150,Medium Risk
151,Medium Risk
152,Medium Risk
153,Medium Risk
154,Medium Risk
155,Low Risk
156,Low Risk
157,Medium Risk
158,Medium Risk
159,High Risk
160,High Risk
161,High Risk
162,Medium Risk
163,Low Risk
164,Medium Risk
165,Medium Risk
166,Medium Risk
167,Low Risk
168,Medium Risk
169,Medium Risk
170,Medium Risk
171,Low Risk
172,Low Risk
173,Low Risk
174,Medium Risk
175,Medium Risk
176,High Risk
177,Low Risk
178,Medium Risk
179,Medium Risk
180,Medium Risk
181,Medium Risk
182,Low Risk
183,Low Risk
184,Medium Risk
185,Medium Risk
186,Medium Risk
187,Medium Risk
188,High Risk
189,Medium Risk
190,High Risk
191,Low Risk
192,Medium Risk
193,Low Risk
194,Medium Risk
195,Low Risk
196,High Risk
197,Low Risk
198,Medium Risk
199,Low Risk
200,High Risk
201,Low Risk
202,Medium Risk
203,Low Risk
204,Medium Risk
205,Medium Risk
206,Medium Risk
207,Low Risk
208,Low Risk
209,Medium Risk
210,Low Risk
211,Low Risk
212,Medium Risk
213,Medium Risk
214,Medium Risk
215,High Risk
216,Medium Risk
217,Medium Risk
218,Medium Risk
219,Medium Risk
220,Low Risk
221,High Risk
222,High Risk
223,Medium Risk
224,Low Risk
225,High Risk
226,Medium Risk
227,Low Risk
228,Medium Risk
229,Medium Risk
230,Medium Risk
231,Medium Risk
232,Medium Risk
233,Medium Risk
234,Medium Risk
235,Medium Risk
236,Low Risk
237,Medium Risk
238,Low Risk
239,Medium Risk
240,Low Risk
241,High Risk
242,Medium Risk
243,Medium Risk
244,Medium Risk
245,High Risk
246,Medium Risk
247,Low Risk
248,Low Risk
249,Medium Risk
250,Low Risk
251,High Risk
252,Medium Risk
253,Medium Risk
254,Low Risk
255,Low Risk
256,Medium Risk
257,Low Risk
258,Low Risk
259,Low Risk
260,Medium Risk
261,Low Risk
262,Medium Risk
263,Medium Risk
264,Low Risk
265,Low Risk
266,Low Risk
267,Medium Risk
268,Medium Risk
269,Medium Risk
270,High Risk
271,Low Risk
272,Medium Risk
273,Medium Risk
274,Low Risk
275,Low Risk
276,Medium Risk
277,Medium Risk
278,Low Risk
279,Medium Risk
280,Medium Risk
281,Low Risk
282,Low Risk
283,Medium Risk
284,Medium Risk
285,Medium Risk
286,Low Risk
287,Medium Risk
288,Low Risk
289,Medium Risk
290,Low Risk
291,Low Risk
292,Medium Risk
293,High Risk
294,Medium Risk
295,Medium Risk
296,Medium Risk
297,Low Risk
298,Medium Risk
299,Low Risk
300,Medium Risk
301,Medium Risk
302,Low Risk
303,Medium Risk
304,Medium Risk
305,Low Risk
306,Low Risk
307,Low Risk
308,Medium Risk
309,High Risk
310,Low Risk
311,Low Risk
312,Medium Risk
313,Medium Risk
314,High Risk
315,Low Risk
316,Medium Risk
317,Medium Risk
318,Medium Risk
319,High Risk
320,Medium Risk
321,High Risk
322,Medium Risk
323,Low Risk
324,Low Risk
325,Low Risk
326,Medium Risk
327,Medium Risk
328,High Risk
329,Low Risk
330,High Risk
331,Medium Risk
332,Medium Risk
333,Medium Risk
334,Medium Risk
335,Medium Risk
336,Medium Risk
337,Medium Risk
338,Low Risk
339,Medium Risk
340,Low Risk
341,Low Risk
342,Low Risk
343,Medium Risk
344,Medium Risk
345,Medium Risk
346,Low Risk
347,Low Risk
348,Medium Risk
349,Medium Risk
350,Medium Risk
351,Low Risk
352,Medium Risk
353,Medium Risk
354,Medium Risk
355,High Risk
356,Low Risk
357,Medium Risk
358,Medium Risk
359,Medium Risk
360,Low Risk
361,High Risk
362,Low Risk
363,High Risk
364,Medium Risk
365,Low Risk
366,Medium Risk
367,Medium Risk
368,High Risk
369,Medium Risk
370,High Risk
371,Medium Risk
372,Low Risk
373,High Risk
374,Medium Risk
375,Medium Risk
376,Medium Risk
377,Medium Risk
378,Low Risk
379,Low Risk
380,Low Risk
381,Medium Risk
382,High Risk
383,Medium Risk
384,Medium Risk
385,Low Risk
386,Medium Risk
387,Medium Risk
388,High Risk
389,High Risk
390,Low Risk
391,Medium Risk
392,Medium Risk
393,Low Risk
394,Low Risk
395,Low Risk
396,High Risk
397,Medium Risk
398,Low Risk
399,Medium Risk
400,High Risk
401,Medium Risk
402,Medium Risk
403,Medium Risk
404,Medium Risk
405,High Risk
406,Low Risk
407,Low Risk
408,Medium Risk
409,Low Risk
410,Medium Risk
411,High Risk
412,Low Risk
413,Medium Risk
414,Medium Risk
415,Low Risk
416,Low Risk
417,Low Risk
418,Medium Risk
419,Medium Risk
420,Medium Risk
421,Medium Risk
422,Low Risk
423,Low Risk
424,High Risk
425,Medium Risk
426,Low Risk
427,High Risk
428,Low Risk
429,Medium Risk
430,Medium Risk
431,Medium Risk
432,Medium Risk
433,Medium Risk
434,Low Risk
435,Low Risk
436,High Risk
437,Medium Risk
438,Medium Risk
439,Medium Risk
440,Medium Risk
441,Low Risk
442,Medium Risk
443,Medium Risk
444,Medium Risk
445,Medium Risk
446,Low Risk
447,Medium Risk
448,Low Risk
449,Low Risk
450,Medium Risk
451,Medium Risk
452,Medium Risk
453,Medium Risk
454,Low Risk
455,Medium Risk
456,Medium Risk
457,High Risk
