threshold,fn,fp,total_cost
0.1,33,4311,48060
0.11,42,4246,48760
0.12,50,4182,49320
0.13,54,4107,49170
0.13999999999999999,56,4036,48760
0.14999999999999997,63,3971,49160
0.15999999999999998,68,3908,49280
0.16999999999999998,76,3837,49770
0.17999999999999997,84,3743,50030
0.18999999999999995,91,3653,50180
0.19999999999999996,100,3585,50850
0.20999999999999996,106,3505,50950
0.21999999999999995,117,3427,51820
0.22999999999999995,125,3355,52300
0.23999999999999994,139,3283,53680
0.24999999999999992,146,3204,53940
0.2599999999999999,152,3108,53880
0.2699999999999999,166,3035,55250
0.2799999999999999,178,2959,56290
0.2899999999999999,189,2890,57250
0.29999999999999993,202,2814,58440
0.30999999999999994,217,2743,59980
0.3199999999999999,230,2683,61330
0.32999999999999985,240,2608,62080
0.33999999999999986,253,2540,63350
0.34999999999999987,265,2469,64440
0.3599999999999999,277,2413,65680
0.3699999999999999,293,2349,67440
0.3799999999999999,311,2298,69630
0.3899999999999999,322,2231,70610
0.3999999999999998,330,2166,71160
0.4099999999999998,343,2092,72370
0.4199999999999998,352,2038,73180
0.4299999999999998,362,1982,74120
0.43999999999999984,368,1931,74510
0.44999999999999984,378,1883,75530
0.45999999999999985,387,1842,76470
0.46999999999999986,394,1787,76970
0.47999999999999976,401,1721,77360
0.48999999999999977,412,1669,78490
0.4999999999999998,421,1620,79350
0.5099999999999998,429,1580,80150
0.5199999999999998,440,1538,81380
0.5299999999999998,452,1488,82680
0.5399999999999998,467,1445,84500
0.5499999999999998,477,1399,85540
0.5599999999999997,489,1361,86960
0.5699999999999997,500,1324,88240
0.5799999999999997,510,1279,89290
0.5899999999999997,529,1239,91740
0.5999999999999998,541,1199,93140
0.6099999999999998,551,1161,94260
0.6199999999999998,566,1114,96040
0.6299999999999997,582,1071,98010
0.6399999999999997,596,1028,99680
0.6499999999999997,609,990,101250
0.6599999999999997,618,955,102250
0.6699999999999997,633,927,104220
0.6799999999999997,648,889,106090
0.6899999999999997,662,852,107820
0.6999999999999996,676,820,109600
0.7099999999999996,694,786,111960
0.7199999999999996,702,745,112750
0.7299999999999996,721,713,115280
0.7399999999999997,738,676,117460
0.7499999999999997,759,648,120330
0.7599999999999997,781,615,123300
0.7699999999999997,790,575,124250
0.7799999999999997,813,542,127370
0.7899999999999996,825,509,128840
0.7999999999999996,840,480,130800
0.8099999999999996,856,441,132810
0.8199999999999996,874,425,135350
0.8299999999999996,894,404,138140
0.8399999999999996,910,379,140290
0.8499999999999996,952,304,145840
0.8599999999999995,966,278,147680
0.8699999999999996,989,253,150880
0.8799999999999996,1011,233,153980
0.8899999999999996,1070,146,161960
0.8999999999999996,1086,128,164180
