customer_id,risk_tier,risk_score,recommended_action,action_reason,action_priority,credit_limit_usd,expected_loss_usd,avg_utilization,on_time_months,max_delinquency,consecutive_delays,balance_volatility,default_next_month
16040,High Risk,0.998489,Priority collections review,Severe delinquency history,High,6451.612903225806,6441.8645161290315,0.0249999999999999,0,3,6,0.0,1
1967,High Risk,0.9984617,Hardship outreach,Persistent delayed payments,High,2903.2258064516127,2898.7597741935483,0.4763037037037037,3,1,3,23064.429996569757,0
9594,High Risk,0.9984145,Hardship outreach,Persistent delayed payments,High,645.1612903225806,644.1383870967742,0.015,0,2,6,0.0,1
11740,High Risk,0.9984145,Hardship outreach,Persistent delayed payments,High,9677.41935483871,9662.075806451614,0.0166666666666666,0,2,6,0.0,1
7789,High Risk,0.9983816,Hardship outreach,Persistent delayed payments,High,6451.612903225806,6441.171612903225,0.0124999999999999,0,2,6,0.0,1
13712,High Risk,0.9983816,Hardship outreach,Persistent delayed payments,High,6451.612903225806,6441.171612903225,0.0124999999999999,0,2,6,0.0,1
3664,High Risk,0.9981048,Priority collections review,Severe delinquency history,High,967.741935483871,965.9078709677419,0.035,0,3,6,0.0,1
14429,High Risk,0.9981048,Priority collections review,Severe delinquency history,High,967.741935483871,965.9078709677419,0.035,0,3,6,0.0,1
16490,High Risk,0.9981048,Priority collections review,Severe delinquency history,High,967.741935483871,965.9078709677419,0.035,0,3,6,0.0,1
1461,High Risk,0.9980411,Priority collections review,Severe delinquency history,High,1612.9032258064515,1609.7437096774192,0.021,0,3,6,0.0,1
6510,High Risk,0.9980411,Priority collections review,Severe delinquency history,High,1612.9032258064515,1609.7437096774192,0.021,0,3,6,0.0,1
14226,High Risk,0.9980411,Priority collections review,Severe delinquency history,High,1612.9032258064515,1609.7437096774192,0.021,0,3,6,0.0,1
24571,High Risk,0.9980411,Priority collections review,Severe delinquency history,High,1612.9032258064515,1609.7437096774192,0.021,0,3,6,0.0,1
19983,High Risk,0.99777114,Priority collections review,Severe delinquency history,High,9677.41935483871,9655.849741935484,0.0166666666666666,0,3,6,0.0,1
21668,High Risk,0.99777114,Priority collections review,Severe delinquency history,High,645.1612903225806,643.7233161290322,0.0161,0,3,6,0.0,1
27161,High Risk,0.99777114,Priority collections review,Severe delinquency history,High,645.1612903225806,643.7233161290322,0.015,0,3,6,0.0,1
29367,High Risk,0.99777114,Priority collections review,Severe delinquency history,High,645.1612903225806,643.7233161290322,0.015,0,3,6,0.0,1
21013,High Risk,0.9977247,Priority collections review,Severe delinquency history,High,6451.612903225806,6436.933548387096,0.0124999999999999,0,3,6,0.0,1
24346,High Risk,0.9977247,Priority collections review,Severe delinquency history,High,6451.612903225806,6436.933548387096,0.0124999999999999,0,3,6,0.0,1
26802,High Risk,0.9977247,Priority collections review,Severe delinquency history,High,6451.612903225806,6436.933548387096,0.0124999999999999,0,3,6,0.0,1
1957,High Risk,0.99715865,Hardship outreach,Persistent delayed payments,High,7096.774193548387,7076.609774193549,0.0113636363636363,0,2,6,0.0,1
6045,High Risk,0.99691284,Hardship outreach,Persistent delayed payments,High,16129.032258064515,16079.23935483871,0.009914,0,2,6,0.0,1
13744,High Risk,0.99691284,Hardship outreach,Persistent delayed payments,High,8387.096774193547,8361.204464516128,0.0096038461538461,0,2,6,0.0,1
10745,High Risk,0.99690896,Hardship outreach,Persistent delayed payments,High,9032.258064516129,9004.338993548386,0.0088642857142857,0,2,6,0.0,1
1752,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
4007,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
6085,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
17809,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
17927,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
18136,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
29419,High Risk,0.9968521,Priority collections review,Severe delinquency history,High,322.5806451612903,321.5651935483871,0.105,0,3,6,0.0,1
5838,High Risk,0.9966719,Priority collections review,Severe delinquency history,High,322.5806451612903,321.50706451612905,0.24,0,7,6,0.0,1
13407,High Risk,0.9966719,Priority collections review,Severe delinquency history,High,322.5806451612903,321.50706451612905,0.24,0,7,6,0.0,1
14245,High Risk,0.9966719,Priority collections review,Severe delinquency history,High,322.5806451612903,321.50706451612905,0.24,0,7,6,0.0,1
17034,High Risk,0.9966719,Priority collections review,Severe delinquency history,High,322.5806451612903,321.50706451612905,0.24,0,7,6,0.0,1
17240,High Risk,0.9966719,Priority collections review,Severe delinquency history,High,322.5806451612903,321.50706451612905,0.24,0,7,6,0.0,1
