credit_limit_band,risk_tier,account_count,default_rate_pct,total_exposure_usd,expected_loss_usd
$10K-$20K,High Risk,133,54.13533834586466,1711935.4838709678,1135248.840585484
$10K-$20K,Low Risk,3008,8.34441489361702,39137096.77419355,9335506.544100322
$10K-$20K,Medium Risk,1354,20.38404726735598,17332505.80645161,7506059.98520229
$20K+,Low Risk,47,4.25531914893617,1034516.1290322581,159826.58574193547
$20K+,Medium Risk,21,19.047619047619047,471935.48387096776,176343.44793548385
$2K-$5K,High Risk,1224,54.98366013071896,4106774.193548387,3069235.768966129
$2K-$5K,Low Risk,2637,11.414486158513462,9660322.58064516,3174793.8168099355
$2K-$5K,Medium Risk,4038,21.34720158494304,13905483.870967742,6853157.804677709
$5K-$10K,High Risk,572,56.993006993006986,3970645.1612903224,2902325.1947296774
$5K-$10K,Low Risk,4970,10.925553319919517,35798387.09677419,10639649.136553999
$5K-$10K,Medium Risk,3495,18.683834048640914,24638064.51612903,11310808.055408709
<$2K,High Risk,2010,56.61691542288557,2196322.580645161,1719034.9449993547
<$2K,Low Risk,1549,16.785022595222724,2026451.6129032257,851572.6138667741
<$2K,Medium Risk,4942,25.799271549979764,6091161.29032258,3318989.620516129
