risk_tier,sex_label,education_label,marriage_label,account_count,default_rate_pct,avg_risk_score,avg_credit_limit_usd,tier_color
High Risk,Female,Graduate School,Married,148,57.432432432432435,0.7239671375878378,5490.409764603313,#C62828
High Risk,Female,Graduate School,Single,368,57.065217391304344,0.7548624742690216,3299.438990182328,#C62828
High Risk,Female,High School,Married,289,55.017301038062286,0.7762972773771627,2483.5361089407297,#C62828
High Risk,Female,High School,Other,7,71.42857142857143,0.8497619685714286,2119.8156682027648,#C62828
High Risk,Female,High School,Single,134,47.76119402985074,0.7330942142835821,2426.576793452094,#C62828
High Risk,Female,High School,Undocumented,4,25.0,0.70016305,2338.709677419355,#C62828
High Risk,Female,Other,Single,1,0.0,0.12286781,1935.483870967742,#C62828
High Risk,Female,Undocumented,Married,8,25.0,0.568288425625,3750.0,#C62828
High Risk,Female,Undocumented,Single,4,25.0,0.41170033125,6209.677419354838,#C62828
High Risk,Female,University,Married,626,57.18849840255591,0.7571033885095847,2992.8887972791917,#C62828
High Risk,Female,University,Other,14,78.57142857142857,0.8893948442857144,1336.405529953917,#C62828
High Risk,Female,University,Single,561,52.94117647058824,0.7521530763012478,2838.8246794318898,#C62828
High Risk,Male,Graduate School,Married,169,63.905325443786985,0.776646181254438,5806.451612903225,#C62828
High Risk,Male,Graduate School,Other,3,66.66666666666666,0.7290095433333333,3548.387096774193,#C62828
High Risk,Male,Graduate School,Single,291,55.32646048109966,0.7509955072164948,3676.9759450171823,#C62828
High Risk,Male,High School,Married,198,62.121212121212125,0.7711978772222223,2627.8918214402083,#C62828
High Risk,Male,High School,Other,7,28.57142857142857,0.61829181,1244.2396313364054,#C62828
High Risk,Male,High School,Single,148,54.729729729729726,0.777508964195946,1830.8631211857019,#C62828
High Risk,Male,High School,Undocumented,3,33.33333333333333,0.8913722566666666,1720.4301075268816,#C62828
High Risk,Male,Other,Married,2,0.0,0.27416835500000003,5161.290322580646,#C62828
High Risk,Male,Other,Single,1,0.0,0.055326637,6774.193548387097,#C62828
High Risk,Male,Undocumented,Married,6,33.33333333333333,0.31695402333333333,2935.483870967742,#C62828
High Risk,Male,Undocumented,Single,5,20.0,0.46432039999999997,2387.0967741935483,#C62828
High Risk,Male,University,Married,374,62.03208556149733,0.7857599598930481,3109.3669139209937,#C62828
High Risk,Male,University,Other,7,71.42857142857143,0.8616688242857142,2534.5622119815666,#C62828
High Risk,Male,University,Single,561,53.11942959001783,0.757710023452763,2238.514173998045,#C62828
Low Risk,Female,Graduate School,Married,1139,12.291483757682178,0.28883371330746266,8717.607408875923,#2E7D32
Low Risk,Female,Graduate School,Other,5,0.0,0.2624687212,6193.548387096775,#2E7D32
Low Risk,Female,Graduate School,Single,2131,9.385265133740027,0.2934471825236509,7473.547176094821,#2E7D32
Low Risk,Female,Graduate School,Undocumented,2,0.0,0.260089792,6935.483870967742,#2E7D32
Low Risk,Female,High School,Married,616,11.525974025974026,0.33346854252386365,5810.117302052786,#2E7D32
Low Risk,Female,High School,Other,19,0.0,0.2694693305263158,4057.7249575551778,#2E7D32
Low Risk,Female,High School,Single,355,13.239436619718308,0.34588536458140845,6093.593820990458,#2E7D32
Low Risk,Female,High School,Undocumented,15,0.0,0.38601718999999995,5311.8279569892475,#2E7D32
Low Risk,Female,Other,Married,23,4.3478260869565215,0.29931745939130433,8078.541374474053,#2E7D32
Low Risk,Female,Other,Other,1,0.0,0.48388588,10322.58064516129,#2E7D32
Low Risk,Female,Other,Single,26,7.6923076923076925,0.28657868696153843,7493.79652605459,#2E7D32
Low Risk,Female,Undocumented,Married,48,0.0,0.251334454,6848.118279569892,#2E7D32
Low Risk,Female,Undocumented,Other,1,0.0,0.2747054,2903.2258064516127,#2E7D32
Low Risk,Female,Undocumented,Single,36,2.7777777777777777,0.2626927252222222,6586.021505376343,#2E7D32
Low Risk,Female,University,Married,1832,11.844978165938864,0.31531386103165937,6847.267220735315,#2E7D32
Low Risk,Female,University,Other,24,12.5,0.32347538875,4744.623655913979,#2E7D32
Low Risk,Female,University,Single,1519,10.204081632653061,0.3045682738146149,6479.007836225021,#2E7D32
Low Risk,Female,University,Undocumented,4,25.0,0.4531176125,6290.322580645161,#2E7D32
Low Risk,Male,Graduate School,Married,896,13.28125,0.3033039530780134,9659.058179723503,#2E7D32
Low Risk,Male,Graduate School,Other,10,20.0,0.3423850184,7774.193548387097,#2E7D32
Low Risk,Male,Graduate School,Single,1187,9.856781802864365,0.3005975675186183,7707.1500394053855,#2E7D32
Low Risk,Male,Graduate School,Undocumented,1,0.0,0.3051992,9677.41935483871,#2E7D32
Low Risk,Male,High School,Married,353,12.464589235127479,0.34454881462606235,6432.422553230375,#2E7D32
Low Risk,Male,High School,Other,5,20.0,0.43469605600000005,2838.7096774193546,#2E7D32
Low Risk,Male,High School,Single,232,13.793103448275861,0.3350303827198276,5097.330367074526,#2E7D32
Low Risk,Male,High School,Undocumented,6,16.666666666666664,0.34092766333333335,4301.075268817204,#2E7D32
Low Risk,Male,Other,Married,9,0.0,0.2091420048888889,8709.677419354839,#2E7D32
Low Risk,Male,Other,Other,1,0.0,0.19884834,4838.709677419355,#2E7D32
