month_number,risk_tier,bucket,account_count,default_rate_pct,tier_color
1,High Risk,30-DPD,1068,48.59550561797753,#C62828
1,High Risk,60-DPD,1459,72.78958190541466,#C62828
1,High Risk,90+-DPD,141,63.12056737588653,#C62828
1,High Risk,90-DPD,322,75.77639751552795,#C62828
1,High Risk,Current,949,31.08535300316122,#C62828
1,Low Risk,Current,12211,11.112930963885022,#2E7D32
1,Medium Risk,30-DPD,2620,27.977099236641223,#F9A825
1,Medium Risk,60-DPD,1208,64.73509933774835,#F9A825
1,Medium Risk,Current,10022,15.515865096787069,#F9A825
2,High Risk,30-DPD,6,16.666666666666664,#C62828
2,High Risk,60-DPD,2476,64.05492730210017,#C62828
2,High Risk,90+-DPD,157,54.77707006369427,#C62828
2,High Risk,90-DPD,326,61.65644171779141,#C62828
2,High Risk,Current,974,34.394250513347025,#C62828
2,Low Risk,Current,12211,11.112930963885022,#2E7D32
2,Medium Risk,30-DPD,22,18.181818181818183,#F9A825
2,Medium Risk,60-DPD,1451,41.21295658166781,#F9A825
2,Medium Risk,Current,12377,19.940211682960328,#F9A825
3,High Risk,30-DPD,4,25.0,#C62828
3,High Risk,60-DPD,2751,61.214103962195566,#C62828
3,High Risk,90+-DPD,150,62.66666666666667,#C62828
3,High Risk,90-DPD,240,57.49999999999999,#C62828
3,High Risk,Current,794,36.775818639798494,#C62828
3,Low Risk,Current,12211,11.112930963885022,#2E7D32
3,Medium Risk,60-DPD,1068,26.685393258426966,#F9A825
3,Medium Risk,Current,12782,21.78845251134408,#F9A825
4,High Risk,30-DPD,2,50.0,#C62828
4,High Risk,60-DPD,2329,60.111635895234,#C62828
4,High Risk,90+-DPD,169,68.04733727810651,#C62828
4,High Risk,90-DPD,180,61.111111111111114,#C62828
4,High Risk,Current,1259,46.306592533756955,#C62828
4,Low Risk,Current,12211,11.112930963885022,#2E7D32
4,Medium Risk,60-DPD,830,30.481927710843376,#F9A825
4,Medium Risk,Current,13020,21.63594470046083,#F9A825
5,High Risk,60-DPD,1866,61.468381564844584,#C62828
5,High Risk,90+-DPD,164,68.90243902439023,#C62828
5,High Risk,90-DPD,178,63.48314606741573,#C62828
5,High Risk,Current,1731,48.29578278451762,#C62828
5,Low Risk,Current,12211,11.112930963885022,#2E7D32
5,Medium Risk,60-DPD,760,36.31578947368421,#F9A825
5,Medium Risk,Current,13090,21.34453781512605,#F9A825
6,High Risk,60-DPD,1720,62.26744186046511,#C62828
6,High Risk,90+-DPD,129,71.31782945736434,#C62828
6,High Risk,90-DPD,184,64.13043478260869,#C62828
6,High Risk,Current,1906,48.68835257082896,#C62828
6,Low Risk,Current,12211,11.112930963885022,#2E7D32
6,Medium Risk,60-DPD,1046,31.54875717017208,#F9A825
6,Medium Risk,Current,12804,21.399562636676038,#F9A825
