risk_score_decile,account_count,default_count,default_rate_pct,min_score,max_score,total_exposure_usd,expected_loss_usd
D1,3000,47,1.5666666666666667,0.0010065449,0.11826985,24894193.548387095,1857867.7203625806
D2,3000,42,1.4000000000000001,0.11829587,0.183491,22287935.48387097,3362763.0723270965
D3,3000,67,2.2333333333333334,0.18349405,0.25092927,19802903.225806452,4276282.826090323
D4,3000,110,3.6666666666666665,0.2509535,0.32331148,17662903.225806452,5051351.974441935
D5,3000,196,6.533333333333332,0.32333213,0.40475184,15407741.935483871,5591444.962812903
D6,3000,310,10.333333333333334,0.40477824,0.5064923,14363548.387096774,6501084.515438709
D7,3000,679,22.633333333333333,0.50650173,0.6310732,13102376.774193548,7442367.562417161
D8,3000,1156,38.53333333333334,0.6310856,0.7630248,11741935.483870968,8158937.54966129
D9,3000,1784,59.46666666666667,0.7630956,0.88247555,12247741.935483871,10149532.553764516
D10,3000,2245,74.83333333333333,0.88247555,0.998489,10570322.58064516,9760919.62277742
