risk_tier,feature,average_value,tier_color
High Risk,avg_utilization,0.6613116814106467,#C62828
Low Risk,avg_utilization,0.10230525314566129,#2E7D32
Medium Risk,avg_utilization,0.5297676688333738,#F9A825
High Risk,utilization_trend,-0.012852046295912824,#C62828
Low Risk,utilization_trend,-0.010969718849478937,#2E7D32
Medium Risk,utilization_trend,-0.035730446034383426,#F9A825
High Risk,on_time_months,1.9327240416349327,#C62828
Low Risk,on_time_months,6.0,#2E7D32
Medium Risk,on_time_months,5.349819494584837,#F9A825
High Risk,max_delinquency,2.3526275704493527,#C62828
Low Risk,max_delinquency,-0.5936450741135042,#2E7D32
Medium Risk,max_delinquency,0.8046209386281589,#F9A825
High Risk,delinquency_drift,1.907844630616908,#C62828
Low Risk,delinquency_drift,0.5168290885267381,#2E7D32
Medium Risk,delinquency_drift,1.2620938628158844,#F9A825
High Risk,consecutive_delays,3.9855293221629857,#C62828
Low Risk,consecutive_delays,0.0,#2E7D32
Medium Risk,consecutive_delays,0.588158844765343,#F9A825
High Risk,payment_ratio,0.20372334239545598,#C62828
Low Risk,payment_ratio,2.257221423643555,#2E7D32
Medium Risk,payment_ratio,1.0934741850457197,#F9A825
High Risk,balance_volatility,7081.716869466191,#C62828
Low Risk,balance_volatility,11198.42959420367,#2E7D32
Medium Risk,balance_volatility,14273.987000315781,#F9A825
High Risk,risk_score,0.7584414732746889,#C62828
Low Risk,risk_score,0.3095479750297027,#2E7D32
Medium Risk,risk_score,0.501448726986917,#F9A825
