month_pair,from_bucket,to_bucket,account_count,pct_of_accounts,from_node,to_node,transition_label
1->2,30-DPD,30-DPD,28,0.7592190889370932,1: 30-DPD,2: 30-DPD,30-DPD -> 30-DPD
1->2,30-DPD,60-DPD,1672,45.33622559652928,1: 30-DPD,2: 60-DPD,30-DPD -> 60-DPD
1->2,30-DPD,90+-DPD,43,1.165943600867679,1: 30-DPD,2: 90+-DPD,30-DPD -> 90+-DPD
1->2,30-DPD,90-DPD,109,2.955531453362256,1: 30-DPD,2: 90-DPD,30-DPD -> 90-DPD
1->2,30-DPD,Current,1836,49.78308026030368,1: 30-DPD,2: Current,30-DPD -> Current
1->2,60-DPD,60-DPD,1591,59.65504311961005,1: 60-DPD,2: 60-DPD,60-DPD -> 60-DPD
1->2,60-DPD,90+-DPD,14,0.5249343832020997,1: 60-DPD,2: 90+-DPD,60-DPD -> 90+-DPD
1->2,60-DPD,90-DPD,71,2.662167229096363,1: 60-DPD,2: 90-DPD,60-DPD -> 90-DPD
1->2,60-DPD,Current,991,37.15785526809149,1: 60-DPD,2: Current,60-DPD -> Current
1->2,90+-DPD,90+-DPD,83,58.86524822695035,1: 90+-DPD,2: 90+-DPD,90+-DPD -> 90+-DPD
1->2,90+-DPD,90-DPD,58,41.13475177304964,1: 90+-DPD,2: 90-DPD,90+-DPD -> 90-DPD
1->2,90-DPD,60-DPD,272,84.472049689441,1: 90-DPD,2: 60-DPD,90-DPD -> 60-DPD
1->2,90-DPD,90+-DPD,9,2.7950310559006213,1: 90-DPD,2: 90+-DPD,90-DPD -> 90+-DPD
1->2,90-DPD,90-DPD,41,12.732919254658384,1: 90-DPD,2: 90-DPD,90-DPD -> 90-DPD
1->2,Current,60-DPD,392,1.6909671296695712,1: Current,2: 60-DPD,Current -> 60-DPD
1->2,Current,90+-DPD,8,0.0345095332585626,1: Current,2: 90+-DPD,Current -> 90+-DPD
1->2,Current,90-DPD,47,0.2027435078940557,1: Current,2: 90-DPD,Current -> 90-DPD
1->2,Current,Current,22735,98.0717798291778,1: Current,2: Current,Current -> Current
2->3,30-DPD,30-DPD,4,14.285714285714285,2: 30-DPD,3: 30-DPD,30-DPD -> 30-DPD
2->3,30-DPD,60-DPD,2,7.142857142857142,2: 30-DPD,3: 60-DPD,30-DPD -> 60-DPD
2->3,30-DPD,Current,22,78.57142857142857,2: 30-DPD,3: Current,30-DPD -> Current
2->3,60-DPD,60-DPD,2302,58.61981156098803,2: 60-DPD,3: 60-DPD,60-DPD -> 60-DPD
2->3,60-DPD,90+-DPD,58,1.476954418130889,2: 60-DPD,3: 90+-DPD,60-DPD -> 90+-DPD
2->3,60-DPD,90-DPD,88,2.2408963585434174,2: 60-DPD,3: 90-DPD,60-DPD -> 90-DPD
2->3,60-DPD,Current,1479,37.66233766233766,2: 60-DPD,3: Current,60-DPD -> Current
2->3,90+-DPD,90+-DPD,75,47.77070063694268,2: 90+-DPD,3: 90+-DPD,90+-DPD -> 90+-DPD
2->3,90+-DPD,90-DPD,82,52.22929936305732,2: 90+-DPD,3: 90-DPD,90+-DPD -> 90-DPD
2->3,90-DPD,60-DPD,290,88.95705521472392,2: 90-DPD,3: 60-DPD,90-DPD -> 60-DPD
2->3,90-DPD,90+-DPD,12,3.6809815950920246,2: 90-DPD,3: 90+-DPD,90-DPD -> 90+-DPD
2->3,90-DPD,90-DPD,24,7.361963190184049,2: 90-DPD,3: 90-DPD,90-DPD -> 90-DPD
2->3,Current,60-DPD,1225,4.792269775447931,2: Current,3: 60-DPD,Current -> 60-DPD
2->3,Current,90+-DPD,5,0.0195602847977466,2: Current,3: 90+-DPD,Current -> 90+-DPD
2->3,Current,90-DPD,46,0.1799546201392692,2: Current,3: 90-DPD,Current -> 90-DPD
2->3,Current,Current,24286,95.00821531961503,2: Current,3: Current,Current -> Current
