threshold,fn,fp,total_cost,cost_saving_vs_050,annualized_cost_saving_vs_050,is_optimal_threshold
0.1,33,4311,48060,31290.0,1877400.0,True
0.11,42,4246,48760,30590.0,1835400.0,False
0.12,50,4182,49320,30030.0,1801800.0,False
0.13,54,4107,49170,30180.0,1810800.0,False
0.1399999999999999,56,4036,48760,30590.0,1835400.0,False
0.1499999999999999,63,3971,49160,30190.0,1811400.0,False
0.1599999999999999,68,3908,49280,30070.0,1804200.0,False
0.1699999999999999,76,3837,49770,29580.0,1774800.0,False
0.1799999999999999,84,3743,50030,29320.0,1759200.0,False
0.1899999999999999,91,3653,50180,29170.0,1750200.0,False
0.1999999999999999,100,3585,50850,28500.0,1710000.0,False
0.2099999999999999,106,3505,50950,28400.0,1704000.0,False
0.2199999999999999,117,3427,51820,27530.0,1651800.0,False
0.2299999999999999,125,3355,52300,27050.0,1623000.0,False
0.2399999999999999,139,3283,53680,25670.0,1540200.0,False
0.2499999999999999,146,3204,53940,25410.0,1524600.0,False
0.2599999999999999,152,3108,53880,25470.0,1528200.0,False
0.2699999999999999,166,3035,55250,24100.0,1446000.0,False
0.2799999999999999,178,2959,56290,23060.0,1383600.0,False
0.2899999999999999,189,2890,57250,22100.0,1326000.0,False
0.2999999999999999,202,2814,58440,20910.0,1254600.0,False
0.3099999999999999,217,2743,59980,19370.0,1162200.0,False
0.3199999999999999,230,2683,61330,18020.0,1081200.0,False
0.3299999999999998,240,2608,62080,17270.0,1036200.0,False
0.3399999999999998,253,2540,63350,16000.0,960000.0,False
0.3499999999999998,265,2469,64440,14910.0,894600.0,False
0.3599999999999999,277,2413,65680,13670.0,820200.0,False
0.3699999999999999,293,2349,67440,11910.0,714600.0,False
0.3799999999999999,311,2298,69630,9720.0,583200.0,False
0.3899999999999999,322,2231,70610,8740.0,524400.0,False
0.3999999999999998,330,2166,71160,8190.0,491400.0,False
0.4099999999999998,343,2092,72370,6980.0,418800.0,False
0.4199999999999998,352,2038,73180,6170.0,370200.0,False
0.4299999999999998,362,1982,74120,5230.0,313800.0,False
0.4399999999999998,368,1931,74510,4840.0,290400.0,False
0.4499999999999998,378,1883,75530,3820.0,229200.0,False
0.4599999999999998,387,1842,76470,2880.0,172800.0,False
0.4699999999999998,394,1787,76970,2380.0,142800.0,False
0.4799999999999997,401,1721,77360,1990.0,119400.0,False
0.4899999999999997,412,1669,78490,860.0,51600.0,False
0.4999999999999998,421,1620,79350,0.0,0.0,False
0.5099999999999998,429,1580,80150,-800.0,-48000.0,False
0.5199999999999998,440,1538,81380,-2030.0,-121800.0,False
0.5299999999999998,452,1488,82680,-3330.0,-199800.0,False
0.5399999999999998,467,1445,84500,-5150.0,-309000.0,False
0.5499999999999998,477,1399,85540,-6190.0,-371400.0,False
0.5599999999999997,489,1361,86960,-7610.0,-456600.0,False
0.5699999999999997,500,1324,88240,-8890.0,-533400.0,False
0.5799999999999997,510,1279,89290,-9940.0,-596400.0,False
0.5899999999999997,529,1239,91740,-12390.0,-743400.0,False
0.5999999999999998,541,1199,93140,-13790.0,-827400.0,False
0.6099999999999998,551,1161,94260,-14910.0,-894600.0,False
0.6199999999999998,566,1114,96040,-16690.0,-1001400.0,False
0.6299999999999997,582,1071,98010,-18660.0,-1119600.0,False
0.6399999999999997,596,1028,99680,-20330.0,-1219800.0,False
0.6499999999999997,609,990,101250,-21900.0,-1314000.0,False
0.6599999999999997,618,955,102250,-22900.0,-1374000.0,False
0.6699999999999997,633,927,104220,-24870.0,-1492200.0,False
0.6799999999999997,648,889,106090,-26740.0,-1604400.0,False
0.6899999999999997,662,852,107820,-28470.0,-1708200.0,False
0.6999999999999996,676,820,109600,-30250.0,-1815000.0,False
0.7099999999999996,694,786,111960,-32610.0,-1956600.0,False
0.7199999999999996,702,745,112750,-33400.0,-2004000.0,False
0.7299999999999996,721,713,115280,-35930.0,-2155800.0,False
0.7399999999999997,738,676,117460,-38110.0,-2286600.0,False
0.7499999999999997,759,648,120330,-40980.0,-2458800.0,False
0.7599999999999997,781,615,123300,-43950.0,-2637000.0,False
0.7699999999999997,790,575,124250,-44900.0,-2694000.0,False
0.7799999999999997,813,542,127370,-48020.0,-2881200.0,False
0.7899999999999996,825,509,128840,-49490.0,-2969400.0,False
0.7999999999999996,840,480,130800,-51450.0,-3087000.0,False
0.8099999999999996,856,441,132810,-53460.0,-3207600.0,False
0.8199999999999996,874,425,135350,-56000.0,-3360000.0,False
0.8299999999999996,894,404,138140,-58790.0,-3527400.0,False
0.8399999999999996,910,379,140290,-60940.0,-3656400.0,False
0.8499999999999996,952,304,145840,-66490.0,-3989400.0,False
0.8599999999999995,966,278,147680,-68330.0,-4099800.0,False
0.8699999999999996,989,253,150880,-71530.0,-4291800.0,False
0.8799999999999996,1011,233,153980,-74630.0,-4477800.0,False
0.8899999999999996,1070,146,161960,-82610.0,-4956600.0,False
0.8999999999999996,1086,128,164180,-84830.0,-5089800.0,False
