utilization_band,risk_tier,account_count,default_rate_pct,avg_risk_score,total_exposure_usd,band_sort,tier_color
0-20%,High Risk,597,58.291457286432156,0.7617238753852597,2728064.5161290322,1,#C62828
0-20%,Low Risk,9655,12.014500258933197,0.31730614471297774,72856129.03225806,1,#2E7D32
0-20%,Medium Risk,3236,28.43016069221261,0.5858565008833436,20437419.35483871,1,#F9A825
20-40%,High Risk,416,61.057692307692314,0.8375336680769231,1237096.7741935484,2,#C62828
20-40%,Low Risk,2556,7.707355242566511,0.280242369281651,14800645.161290321,2,#2E7D32
20-40%,Medium Risk,636,33.17610062893082,0.6645573296053459,2556645.1612903224,2,#F9A825
40-60%,High Risk,580,63.96551724137931,0.8359704462413793,1717741.9354838708,3,#C62828
40-60%,Medium Risk,3061,15.419797451813134,0.41494849006295326,13538064.516129032,3,#F9A825
60-80%,High Risk,616,61.201298701298704,0.8283837804642857,1520322.5806451612,4,#C62828
60-80%,Medium Risk,3583,19.759977672341613,0.4893051667551214,13996129.032258064,4,#F9A825
80-100%,High Risk,1093,58.64592863677951,0.8033073253613907,2831935.4838709678,5,#C62828
80-100%,Medium Risk,3334,22.765446910617875,0.48087493392771447,11910892.903225806,5,#F9A825
100%+,High Risk,637,34.22291993720565,0.4885017731522763,1950516.129032258,6,#C62828
